(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0.00543624,0) | (-0.0135522,0)
(-0.00144598,0) | (0.0169335,0)
(0.0157537,0) | (0.000914896,0)
(-0.0474238,0) | (0.0239762,0)
(0.0206003,0) | (-0.0162449,0)
(0.0288745,0) | (-0.041355,0)
(0.00484648,0) | (-0.0124616,0)
(-0.0344932,0) | (0.0477919,0)
(0.0299413,0) | (-0.0417441,0)
(0.00733686,0) | (0.0360035,0)
(-0.0405146,0) | (-0.00637808,0)
(0.0419837,0) | (-0.0273045,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(-0.00665138,0) | (0.00700385,0)
(-0.0100644,0) | (0.00522982,0)
(0.00393785,0) | (-0.00488413,0)
(-0.0141074,0) | (0.0138642,0)
(0.00708653,0) | (-0.00590888,0)
(-0.00367256,0) | (0.00439269,0)
(-0.00259719,0) | (0.00464341,0)
(-0.0364427,0) | (0.0142346,0)
(-0.00340652,0) | (0.00178202,0)
(-0.0210023,0) | (0.0496946,0)
(0.0364093,0) | (-0.00334489,0)
(-0.242548,0) | (0.109593,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
